"study_condition","n_samples"
"acute_diarrhoea",56
"ACVD",214
"AD",38
"adenoma",209
"AS",97
"asthma",24
"BD",20
"bronchitis",18
"CAD",269
"carcinoma_surgery_history",40
"CDI",53
"cephalosporins",36
"cirrhosis",132
"control",15121
"cough",2
"CRC",701
"cystitis",1
"donor",9
"fatty_liver",41
"fever",3
"FMT",149
"HF",95
"hypertension",99
"IBD",2088
"IGT",563
"infectiousgastroenteritis",5
"MDRB",5
"ME/CFS",50
"melanoma",315
"metabolic_syndrome",10
"migraine",49
"mucositis",20
"otitis",107
"PD",31
"peri-implantitis",23
"periodontitis",24
"pneumonia",3
"pre-hypertension",56
"premature_born",448
"psoriasis",41
"pyelonefritis",2
"pyelonephritis",6
"respiratoryinf",13
"salmonellosis",1
"schizophrenia",106
"sepsis",1
"skininf",2
"SRP",24
"STEC",42
"STH",108
"stomatitis",2
"suspinf",1
"T1D",89
"T2D",882
"TKI_dependent_diarrhoea",16
"tonsillitis",3
NA,25
