"study_name","adenoma","control","CRC","total"
"ShaoY_2019",0,1644,0,1644
"LifeLinesDeep_2016",0,1135,0,1135
"AsnicarF_2021",0,1098,0,1098
"MehtaRS_2018",0,928,0,928
"ZeeviD_2015",0,900,0,900
"HMP_2012",0,748,0,748
"MetaCardis_2020_a",0,642,0,642
"VatanenT_2016",0,615,0,615
"YachidaS_2019",67,251,258,576
"SchirmerM_2016",0,471,0,471
"HMP_2019_ibdmdb",0,426,0,426
"BackhedF_2015",0,400,0,400
"BritoIL_2016",0,312,0,312
"LeChatelierE_2013",0,292,0,292
"OhJ_2014",0,291,0,291
"CosteaPI_2017",0,279,0,279
"YassourM_2018",0,271,0,271
"NielsenHB_2014",0,248,0,248
"FerrettiP_2018",0,214,0,214
"HansenLBS_2018",0,207,0,207
"VincentC_2016",0,196,0,196
"PehrssonE_2016",0,191,0,191
"XieH_2016",0,177,0,177
"QinJ_2012",0,174,0,174
"JieZ_2017",0,171,0,171
"ZellerG_2014",42,61,53,156
"FengQ_2015",47,61,46,154
"YuJ_2015",0,54,74,128
"WirbelJ_2018",0,65,60,125
"KeohaneDM_2020",0,117,0,117
"QinN_2014",0,114,0,114
"PasolliE_2019",0,112,0,112
"DhakanDB_2019",0,110,0,110
"LiuW_2016",0,110,0,110
"VogtmannE_2016",0,52,52,104
"DeFilippisF_2019",0,97,0,97
"LouisS_2016",0,92,0,92
"KosticAD_2015",0,89,0,89
"ChuDM_2017",0,86,0,86
"RubelMA_2020",0,86,0,86
"HanniganGD_2017",26,28,27,81
"ZhuF_2020",0,81,0,81
"ThomasAM_2018a",27,24,29,80
"ThomasAM_2019_c",0,40,40,80
"HallAB_2017",0,74,0,74
"Bengtsson-PalmeJ_2015",0,70,0,70
"GhensiP_2019",0,70,0,70
"TettAJ_2019_a",0,68,0,68
"WampachL_2018",0,63,0,63
"GuptaA_2019",0,30,30,60
"ThomasAM_2018b",0,28,32,60
"Obregon-TitoAJ_2015",0,58,0,58
"LokmerA_2019",0,57,0,57
"NagySzakalD_2017",0,50,0,50
"TettAJ_2019_c",0,50,0,50
"TettAJ_2016",0,48,0,48
"HMP_2019_t2d",0,46,0,46
"YeZ_2018",0,45,0,45
"TettAJ_2019_b",0,44,0,44
"KarlssonFH_2013",0,43,0,43
"LiJ_2017",0,41,0,41
"ChngKR_2016",0,40,0,40
"SmitsSA_2017",0,40,0,40
"IjazUZ_2017",0,38,0,38
"RampelliS_2015",0,38,0,38
"LoombaR_2017",0,36,0,36
"RaymondF_2016",0,36,0,36
"YassourM_2016",0,36,0,36
"KaurK_2020",0,31,0,31
"BedarfJR_2017",0,28,0,28
"Heitz-BuschartA_2016",0,26,0,26
"AsnicarF_2017",0,24,0,24
"LassalleF_2017",0,23,0,23
"SankaranarayananK_2015",0,18,0,18
"Castro-NallarE_2015",0,16,0,16
"LiJ_2014",0,10,0,10
"DavidLA_2015",0,9,0,9
"KieserS_2018",0,9,0,9
"BrooksB_2017",0,5,0,5
"LiSS_2016",0,5,0,5
"RosaBA_2018",0,5,0,5
"IaniroG_2022",0,3,0,3
